name,type,start_time,duration,"mosi","miso"
"SPI","result",1.741377667,0.000007542,0x3A,0xFF
"SPI","disable",1.741386167,0.000000042,,
"SPI","enable",1.741424167,0.000000042,,
"SPI","result",1.741424667,0.000007542,0x34,0xFF
"SPI","disable",1.741433208,0.000000042,,
"SPI","enable",1.741473917,0.000000042,,
"SPI","result",1.741474417,0.000007542,0xB5,0xFF
"SPI","result",1.741482417,0.000007542,0x00,0xFF
"SPI","disable",1.741490958,0.000000042,,
"SPI","enable",1.747546917,0.000000042,,
"SPI","result",1.747547417,0.000007542,0xB5,0x00
"SPI","result",1.747555417,0.000007542,0x00,0x5F
